Nombre,Ingredientes,Categoria
Tostadas con mermelada,Pan-Mermelada,Desayuno
Facturas de hojaldre,Harina-Manteca-Azucar,Desayuno
Tortilla de papas,Papas-Huevos-Cebolla,Almuerzo
Milanesa napolitana,Carne-Tomate-Queso,Almuerzo
Empanadas de carne,Carne picada-Cebolla-Masa,Almuerzo
Ravioles con estofado,Pasta-Carne-Salsa,Almuerzo
Asado argentino,Carne-Sal,Almuerzo
Pizza mozzarella,Masa-Queso-Tomate,Almuerzo
Pastel de papa,Papas-Carne picada-Cebolla,Almuerzo
Flan casero,Huevos-Leche-Azucar,Postre
Arroz con leche,Arroz-Leche-Azucar,Postre
Churros con dulce de leche,Harina-Azucar-Dulce de leche,Postre
Helado artesanal,Leche-Azucar-Sabores,Postre
Tiramisu,Cafe-Mascarpone-Vainillas,Postre
Pannacotta,Crema-Azucar-Gelatina,Postre
Ensalada caprese,Tomate-Queso-Albahaca,Almuerzo
Galletitas de manteca,Harina-Manteca-Azucar,Desayuno
Frittata de verduras,Huevos-Verduras,Almuerzo
Sopa minestrone,Verduras-Legumbres-Pasta,Almuerzo
Risotto de hongos,Arroz-Hongos-Queso,Almuerzo
Polenta con tuco,Harina-Salsa-Queso,Almuerzo
Panqueques con dulce de leche,Harina-Huevos-Dulce de leche,Postre
Medialunas de manteca,Harina-Manteca-Azucar,Desayuno
Cannoli rellenos,Masa-Ricota-Azucar,Postre
Ñoquis de papa,Papas-Harina-Salsa,Almuerzo
Canelones de verdura,Masa-Espinaca-Ricota-Salsa,Almuerzo
Albondigas en salsa,Carne picada-Tomate-Cebolla,Almuerzo
Ensalada rusa,Papas-Zanahoria-Arvejas-Aderezo,Almuerzo
Panettone,Harina-Frutas confitadas-Pasas de uva,Postre
Bruschetta,Pan-Tomate-Ajo-Albahaca,Desayuno
Faina,Harina-Agua-Aceite,Almuerzo
Sorrentinos,Pasta-Jamon-Queso,Almuerzo
Lasagna de carne,Pasta-Carne-Salsa-Queso,Almuerzo
Tallarines al pesto,Pasta-Albahaca-Ajo-Aceite,Almuerzo
Budin de pan,Pan-Leche-Azucar-Huevos,Postre
Crema catalana,Leche-Huevos-Azucar-Canela,Postre
Arroz con pollo,Arroz-Pollo-Verduras,Almuerzo
Huevos revueltos,Huevos-Manteca,Desayuno
Picada argentina,Embutidos-Queso-Aceitunas,Almuerzo
Ensalada cesar,Lechuga-Pollo-Croutones-Queso,Almuerzo
Ravioles de espinaca,Pasta-Espinaca-Ricota-Salsa,Almuerzo
Pastafrola,Masa-Dulce de membrillo,Postre
Pizza fugazzeta,Masa-Queso-Cebolla,Almuerzo
Pollo al horno,Pollo-Papas-Condimentos,Almuerzo
Fideos con manteca,Pasta-Manteca-Queso,Almuerzo
Sandwich de miga,Pan de miga-Jamon-Queso,Desayuno
Spaghetti a la carbonara,Pasta-Huevos-Panceta,Almuerzo
Flan de dulce de leche,Huevos-Leche-Dulce de leche,Postre
Caprese a la argentina,Tomate-Queso-Oregano,Almuerzo
Polenta frita,Harina-Aceite-Sal,Almuerzo
Empanadas de humita,Choclo-Cebolla-Masa,Almuerzo
Risotto de mariscos,Arroz-Mariscos-Caldo de pescado,Almuerzo
Guiso de lentejas,Lentejas-Chorizo-Verduras,Almuerzo
Pasta al forno,Pasta-Salsa-Queso,Almuerzo
Bizcochuelo de vainilla,Harina-Huevos-Azucar,Postre
Minestrone,Verduras-Legumbres-Pasta,Almuerzo
Gelato italiano,Leche-Azucar-Sabores,Postre
Torta de ricota,Ricota-Harina-Huevos-Azucar,Postre
Ensalada de frutas,Frutas variadas-Azucar-Jugo de naranja,Postre
Frittata de jamon y queso,Huevos-Jamon-Queso,Desayuno
Suprema a la suiza,Pollo-Queso-Crema,Almuerzo
Gnocchi de espinaca,Espinaca-Harina-Salsa,Almuerzo
Pollo al ajillo,Pollo-Ajo-Vino blanco,Almuerzo
Budin de limon,Harina-Huevos-Limon-Azucar,Postre
Canelones de carne,Masa-Carne-Salsa,Almuerzo
Empanadas de jamon y queso,Jamon-Queso-Masa,Almuerzo
Estofado de carne,Carne-Verduras-Vino tinto,Almuerzo
Tarta pascualina,Masa-Espinaca-Huevos,Almuerzo
Pizza calabresa,Masa-Salame-Queso,Almuerzo
Sopa de ajo,Ajo-Pan-Caldo,Almuerzo
Paella de mariscos,Arroz-Mariscos-Azafran,Almuerzo
Flan napolitano,Huevos-Leche-Azucar-Caramelo,Postre
Rabas fritas,Calamares-Harina-Limon,Almuerzo
Ensalada mixta,Lechuga-Tomate-Cebolla,Almuerzo
Tortilla española,Huevos-Papas-Cebolla,Almuerzo
Arroz primavera,Arroz-Verduras-Manteca,Almuerzo
Berenjenas a la parmesana,Berenjenas-Tomate-Queso,Almuerzo
Bizcochos salados,Harina-Grasa-Sal,Desayuno
Pastel de choclo,Choclo-Carne picada-Cebolla,Almuerzo
Crepes de espinaca,Harina-Huevos-Espinaca,Almuerzo
Canelones de ricota,Ricota-Masa-Salsa,Almuerzo
Empanadas de pollo,Pollo-Cebolla-Masa,Almuerzo
Estofado de cordero,Cordero-Verduras-Vino tinto,Almuerzo
Torta de manzana,Manzanas-Harina-Huevos-Azucar,Postre
Pizza napolitana,Masa-Tomate-Ajo-Oregano,Almuerzo
Sopa crema de calabaza,Calabaza-Crema-Caldo,Almuerzo
Paella valenciana,Arroz-Pollo-Mariscos,Almuerzo
Flan de coco,Huevos-Leche-Coco rallado,Postre
Empanadas arabes,Carne-Cebolla-Limon-Masa,Almuerzo
Ñoquis de calabaza,Calabaza-Harina-Salsa,Almuerzo
Tarta de jamon y queso,Masa-Jamon-Queso,Almuerzo
Churrasco con ensalada,Carne-Lechuga-Tomate,Almuerzo
Omelette de queso,Huevos-Queso-Manteca,Desayuno
Ensalada waldorf,Manzanas-Apio-Nueces-Aderezo,Almuerzo
Brochettes de pollo,Pollo-Verduras-Especias,Almuerzo
Pizza cuatro quesos,Masa-Queso,Almuerzo
Pan dulce,Harina-Frutas secas-Pasas de uva,Postre
Flan de cafe,Huevos-Leche-Cafe-Azucar,Postre
Ensalada caprese con palta,Tomate-Queso-Palta,Almuerzo
Milanesas de berenjena,Berenjenas-Pan rallado-Huevos,Almuerzo
Pollo al verdeo,Pollo-Cebolla de verdeo-Crema,Almuerzo
Tarta de atun,Masa-Atun-Cebolla,Almuerzo
Fideos al filetto,Pasta-Tomate-Ajo,Almuerzo
Guiso de arroz,Arroz-Carne-Verduras,Almuerzo
Tiramisu de frutillas,Frutillas-Mascarpone-Vainillas,Postre
Empanadas de espinaca,Espinaca-Cebolla-Masa,Almuerzo
Estofado de pollo,Pollo-Verduras-Vino blanco,Almuerzo
Torta selva negra,Chocolate-Crema-Cerezas,Postre
Pizza de rucula,Masa-Queso-Rucula,Almuerzo
Sopa de cebolla,Cebolla-Caldo-Pan,Almuerzo
Arroz con mariscos,Arroz-Mariscos-Caldo,Almuerzo
Flan de queso,Huevos-Leche-Queso,Postre
Ñoquis de semola,Semola-Leche-Queso,Almuerzo
Ensalada griega,Tomate-Pepino-Queso,Almuerzo
Bife a la criolla,Carne-Tomate-Cebolla-Papas,Almuerzo
Budin de zanahoria,Harina-Zanahoria-Huevos-Azucar,Postre
Canelones de pollo,Masa-Pollo-Salsa,Almuerzo
Empanadas tucumanas,Carne-Cebolla-Huevo duro,Almuerzo
Estofado de conejo,Conejo-Verduras-Vino blanco,Almuerzo
Torta de chocolate,Chocolate-Harina-Huevos-Azucar,Postre
Pizza con anchoas,Masa-Tomate-Anchoas,Almuerzo
Sopa de verduras,Verduras-Caldo,Almuerzo
Paella mixta,Arroz-Pollo-Mariscos,Almuerzo
Flan de naranja,Huevos-Leche-Jugo de naranja,Postre
Empanadas de pescado,Pescado-Cebolla-Masa,Almuerzo
Ñoquis de ricota,Ricota-Harina-Salsa,Almuerzo
Tarta de zapallitos,Masa-Zapallitos-Cebolla,Almuerzo
Choripan,Pan-Chorizo-Chimichurri,Almuerzo
Omelette de champiñones,Huevos-Champiñones-Manteca,Desayuno
Ensalada de quinoa,Quinoa-Verduras-Limon,Almuerzo
Brochettes de vegetales,Verduras-Especias,Almuerzo
Pizza de fugazza,Masa-Cebolla-Oregano,Almuerzo
Pan de campo,Harina-Levadura-Agua,Desayuno
